Transaction_ID,Date, Customer_ID,Customer_Name,Customer_Gender,Customer_Region,Category ,Price,Discount_Amount,Quantity ,Payment_Method,Store_Location,Online/Offline, Product_Rating
T000236,2023-06-08,C1280,Shannon Johnson,Female,West,Clothing,296.05,,,Cash,Store B,Offline,2.2
T000237,2024-11-18,C1038,Marc Clark,Female,NORTH,,233.94,8.88,10.0,Credit Card,Store B,Offline,
T000238,2024-03-10,C1055,Shane Fuller,Female,south,Clothing,529.64,6.82,3.0,Cash,Store D,,
T000239,2024-04-19,C1331,Patrick Mejia,Female,Est,Grocery,347.64,12.24,4.0,Credit Card,Store D,Offline,4.3
T000240,2024-04-18,C1186,Ashley Cross,Male,south,electronic,113.18,13.74,6.0,Online Payment,Store C,Offline,
T000241,,C1087,Steven Mitchell,Female,South,Grocery,537.26,,5.0,Online Payment,Store D,Online,4.7
T000242,2023-03-11,C1122,Dr. David Wilson,Male,South,electronic,109.17,14.73,1.0,Cash,Store C,Online,3.1
T000243,2023-06-09,C1440,Sandra Clark,Female,North,ELECTRONIC,962.64,7.69,10.0,Online Payment,Store C,Offline,4.9
T000244,2023-10-21,C1017,Christopher Johnston,Female,NORTH,ELECTRONIC,556.89,9.0,1.0,Online Payment,Store C,Online,2.2
T000245,2024-06-29,C1500,Dawn Ruiz,Female,East,ELECTRONIC,48.08,8.84,8.0,Cash,Store D,Online,1.3
T000246,2023-01-03,C1213,Jennifer Werner,Female,South,electronic,660.53,2.6,1.0,Debit Card,Store A,Offline,2.4
,2023-12-15,,Sharon Brown,Female,Est,Clothing,,12.41,7.0,,Store B,,2.8
T000248,2024-05-15,C1239,Hannah Rocha,Female,Est,electronic,957.35,12.69,10.0,Online Payment,Store D,Offline,
,2023-01-10,C1024,,Male,East,,,11.6,3.0,Debit Card,Store B,Offline,1.1
T000250,2023-08-22,C1305,Rebecca Garza,Male,WST,Electronics,481.38,11.15,,Credit Card,Store A,Offline,3.5
T000251,2023-05-16,C1263,Amanda Lynch,Female,south,Electronics,,0.38,1.0,Cash,Store B,,2.8
T000252,2024-01-01,C1479,Jordan Craig,Female,south,Grocery,242.25,,3.0,Credit Card,Store A,Offline,3.1
T000253,2023-11-20,C1437,Samantha Black,Female,NORTH,ELECTRONIC,246.7,4.21,6.0,,Store B,Offline,3.9
T000254,2023-09-17,C1026,Troy Diaz,Male,East,electronic,282.56,,7.0,Online Payment,Store A,Online,2.4
T000255,2023-05-13,C1088,Victor Levy,Female,south,Furnitures,321.9,7.86,1.0,Credit Card,Store A,Online,1.1
T000256,2024-06-07,C1326,Kathleen Johnson,Male,South,Electronics,591.92,9.21,2.0,Cash,Store D,Offline,1.6
T000257,2023-09-01,C1324,Lori Bridges,Female,,Electronics,902.97,,1.0,Cash,Store A,Online,1.6
T000258,2023-04-28,,Jacqueline Gordon,Female,East,Grocery,96.36,,6.0,Online Payment,Store C,Offline,3.1
T000259,2023-09-12,C1344,,Female,south,,107.18,4.68,,Cash,Store B,Online,1.5
T000260,,C1497,Raymond Bowman,Male,West,Furniture,710.59,9.32,8.0,Debit Card,,Online,2.2
T000261,2024-08-16,,Heidi King,Male,Est,Clothing,210.93,8.68,9.0,Credit Card,Store C,Offline,4.7
T000262,,C1181,Trevor Mccall,Female,West,Grocery,919.67,,10.0,Cash,Store D,Online,4.5
T000263,2023-07-31,C1470,Anthony Smith,Female,,Electronics,471.44,,10.0,Cash,Store B,Offline,4.4
T000264,2023-12-26,C1086,Joseph Richardson,Female,North,Clothing,272.86,,,Credit Card,Store A,Online,3.9
T000265,2023-02-03,C1078,Helen Buchanan,Male,East,electronic,217.6,11.79,8.0,Online Payment,Store B,Online,4.2
T000266,2023-04-22,C1003,Robert Jordan,Male,NORTH,electronic,240.48,13.42,,Cash,Store C,Offline,
T000267,2024-07-03,C1160,Mark Bright,Female,south,electronic,908.67,2.05,2.0,Debit Card,Store B,Offline,4.7
T000268,2024-06-05,C1075,Amy Allen,Male,West,Clothing,59.28,14.31,5.0,Debit Card,Store C,Offline,2.6
T000269,2023-03-10,C1059,,Female,West,Grocery,197.75,0.84,4.0,Debit Card,Store B,Offline,1.9
,,C1423,Jeremiah Robinson,Female,WST,Furnitures,502.61,,3.0,Debit Card,Store B,Offline,4.2
T000271,2024-03-07,C1018,Nathan Downs,Male,south,electronic,285.83,,,Cash,Store D,Online,4.4
T000272,2023-07-21,C1297,Stephen Carney,Male,Est,ELECTRONIC,341.62,9.07,1.0,Cash,Store D,Online,3.1
,2023-10-27,C1466,Derek Parker,Female,NORTH,electronic,103.48,13.35,,Credit Card,Store D,Online,4.3
T000274,2023-10-03,C1223,Danielle Ortiz,Female,North,,655.37,11.6,9.0,Online Payment,Store A,Online,1.9
T000275,2024-12-21,C1443,Natalie Campbell,Female,NORTH,Electronics,447.4,14.71,4.0,Online Payment,Store A,Online,4.1
T000276,2023-03-28,C1233,Jimmy Short,Male,,Clothing,958.31,14.35,8.0,Debit Card,Store A,Offline,2.8
T000277,2024-01-12,C1210,Ariana Rocha,Male,Est,Grocery,169.25,,10.0,Online Payment,Store D,Online,4.6
T000278,,C1297,Charles Edwards,Male,West,ELECTRONIC,682.49,12.59,8.0,Credit Card,Store C,Offline,1.2
T000279,2024-08-09,C1134,John Hill,Male,West,Electronics,53.75,1.67,5.0,Cash,Store A,Online,3.0
T000280,2023-12-12,C1401,Kimberly Ewing,,WST,Clothing,987.87,4.82,5.0,Cash,Store A,Online,4.0
T000281,2024-12-04,C1233,Matthew Hood,,South,Grocery,792.93,,4.0,Credit Card,Store B,Offline,3.0
T000282,2023-01-26,C1453,Sharon Reid,Female,WST,Furnitures,,6.96,3.0,Debit Card,Store B,Offline,4.0
T000283,2023-06-18,C1200,,Male,Est,Furniture,,8.48,2.0,Credit Card,,Online,2.1
T000284,2023-07-08,C1043,Mark Berger,Female,,,30.06,2.33,9.0,Cash,Store A,Offline,4.0
T000285,2023-10-08,C1290,Ryan Cole,Female,south,Electronics,373.44,3.92,6.0,Credit Card,Store A,Offline,1.9
T000286,2024-12-27,C1375,Amanda Riley,Female,West,Clothing,245.85,12.3,7.0,Debit Card,Store A,Offline,4.4
T000287,2024-08-23,C1216,Rachel Reid,Male,NORTH,Electronics,518.82,9.37,10.0,Credit Card,Store A,Online,5.0
T000288,2023-10-22,C1431,Douglas Romero,Male,WST,Electronics,298.88,7.88,9.0,Cash,Store C,Online,2.1
T000289,2024-12-17,C1079,Destiny Wilson,Female,South,,803.87,5.99,8.0,Credit Card,Store C,Offline,1.0
T000290,2023-12-04,C1416,Adam Chapman,Male,South,Clothing,160.32,7.8,1.0,Cash,Store A,Online,1.7
T000291,2023-08-29,C1126,Sarah Wilkerson,Female,,ELECTRONIC,552.95,,3.0,,Store B,Offline,1.8
T000292,2023-03-02,C1483,Brianna Hart,Male,North,ELECTRONIC,282.71,7.08,1.0,Online Payment,Store D,Online,1.5
T000293,2023-10-25,C1052,,,south,Clothing,173.8,5.76,9.0,Online Payment,Store D,Offline,
T000294,2023-05-08,C1333,Annette Smith,Female,West,Furnitures,518.54,,6.0,Cash,Store B,Online,3.6
T000295,2023-02-25,C1472,,Female,North,Furniture,731.91,1.25,1.0,Credit Card,Store A,Offline,1.7
T000296,2023-02-20,C1039,,Female,East,,503.82,13.98,8.0,Debit Card,Store A,Offline,
T000297,2023-06-17,C1234,Barbara Jackson,Male,North,electronic,548.34,14.4,9.0,,Store A,,
T000298,2023-12-30,C1184,Brian Walker,,West,electronic,829.43,13.07,9.0,Online Payment,Store C,Online,3.0
T000299,2024-12-29,C1293,Jonathan Barnes,Female,North,,310.99,,,Credit Card,,Online,1.1
T000300,,C1345,,Male,Est,Furniture,37.32,12.62,10.0,Credit Card,Store B,Offline,
T000301,2024-03-25,C1235,Elizabeth Peterson,Male,West,Furnitures,431.28,1.71,9.0,,Store B,Offline,2.4
T000302,2023-02-16,C1057,Jonathan Carlson,Female,WST,electronic,604.31,12.9,,Cash,Store A,Offline,1.7
T000303,2023-10-15,C1204,Melissa Smith,Female,West,Furnitures,861.66,,,Cash,,,
T000304,2024-07-17,C1012,Sandra Vasquez MD,Female,south,Grocery,898.74,7.32,10.0,Online Payment,Store A,Online,
T000305,2023-12-22,C1211,Aaron Lawson,Female,West,Furniture,218.92,9.15,8.0,Online Payment,Store D,,
T000306,2024-02-11,C1195,Lori Gaines,Male,North,Furnitures,478.26,0.26,5.0,Credit Card,Store D,Online,3.6
T000307,2024-03-24,C1460,Scott Ingram,Female,West,electronic,634.89,4.6,6.0,Cash,,Online,3.5
T000308,2024-11-06,C1376,,Female,NORTH,electronic,679.12,4.95,4.0,Cash,Store C,Online,3.5
T000309,,C1064,Terry Fuentes,Male,West,Grocery,262.14,,9.0,Credit Card,Store C,Online,
T000310,2024-10-09,C1001,Charles Young,Male,south,ELECTRONIC,,6.22,4.0,Cash,Store C,Online,
T000311,2024-07-05,C1314,Christopher Conley,Male,West,Furnitures,208.66,1.72,6.0,Debit Card,Store D,Online,3.9
T000312,2023-02-22,C1453,Manuel Carroll,Male,North,Clothing,441.74,5.31,3.0,,Store C,Online,4.6
T000313,2023-02-01,C1485,Melinda Miller,Male,Est,Furnitures,717.2,0.3,10.0,Cash,,Online,4.2
,2024-05-12,C1055,Gregory Castro,Female,NORTH,Furnitures,237.25,12.98,5.0,Online Payment,Store D,Online,
T000315,2024-09-23,C1420,,Male,Est,Electronics,603.88,3.14,9.0,Debit Card,Store C,Online,3.0
T000316,2023-08-31,C1148,Carl Huang,,south,electronic,949.24,7.72,2.0,,,Online,4.8
T000317,2024-11-16,C1314,Jessica Watkins,Female,West,Electronics,,,8.0,Credit Card,Store C,Online,3.1
T000318,2024-06-10,C1001,Denise Parker,Female,,Electronics,256.59,5.38,10.0,Credit Card,Store D,Online,2.1
T000319,2024-09-16,C1129,John Brock,Male,WST,ELECTRONIC,612.3,10.77,,Cash,Store B,Online,2.5
,2023-07-13,C1175,,,Est,Grocery,409.59,1.1,,Cash,Store D,Offline,1.0
T000321,2023-02-04,C1332,,Female,Est,,71.69,12.41,9.0,Credit Card,Store B,Online,1.1
T000322,2023-07-11,C1449,Ann Phillips,Female,South,ELECTRONIC,99.84,12.55,5.0,Cash,Store C,,4.0
T000323,2024-11-17,C1385,Kerri Chase,Male,East,ELECTRONIC,576.18,4.4,,Cash,Store D,Offline,1.6
T000324,2023-08-06,C1196,Timothy Reeves,Female,south,Furnitures,27.52,11.33,5.0,Credit Card,,,2.3
T000325,2023-11-28,C1083,Lisa Garcia,Male,NORTH,Furnitures,340.57,,7.0,Online Payment,Store A,Online,1.8
,2023-06-08,C1462,Sara Wilson,Female,North,Furnitures,587.37,1.62,4.0,Cash,Store A,Offline,
T000327,2024-10-14,C1326,,Male,south,Grocery,394.9,,4.0,Cash,Store B,Offline,3.5
T000328,2024-03-10,C1462,Michael Jones,Female,WST,Grocery,737.44,0.42,6.0,Debit Card,Store D,Online,2.9
T000329,2024-01-02,C1118,Patricia Moss,Female,Est,,614.33,2.5,10.0,Online Payment,Store B,Online,2.9
T000330,2024-01-15,C1110,,Male,,Electronics,63.26,2.98,9.0,Debit Card,,Offline,2.7
T000331,2023-06-14,C1203,Karen Nichols,Female,North,Furnitures,544.16,6.21,1.0,Cash,Store B,Offline,2.2
T000332,2024-10-03,C1289,Joseph Brown,,WST,Clothing,733.45,6.72,8.0,,Store B,Offline,1.3
T000333,2023-08-29,C1105,,,WST,electronic,284.69,,3.0,Online Payment,Store D,Online,2.4
T000334,2024-10-06,C1367,Mr. John Hatfield,Female,south,Grocery,685.04,5.31,10.0,Debit Card,Store C,,1.7
T000335,2023-07-03,,Stacy Pacheco,Male,,Electronics,393.04,,6.0,Debit Card,Store A,Online,4.3
T000336,2023-12-01,C1084,Calvin Mitchell,Female,WST,electronic,,1.48,7.0,Credit Card,Store C,Online,1.6
T000337,2023-06-25,C1361,Jill Christian,Female,South,Clothing,868.71,,1.0,Debit Card,Store A,Offline,2.7
T000338,2023-10-02,C1303,Kathryn Holder,Female,Est,ELECTRONIC,836.18,,1.0,Cash,Store D,,2.2
T000339,2023-02-27,C1266,Brenda Rodriguez,Male,South,Clothing,268.85,2.7,9.0,Online Payment,Store A,Offline,
,2024-10-19,C1473,,Male,NORTH,Grocery,,12.33,10.0,Online Payment,Store D,Offline,3.9
T000341,2023-12-16,C1378,Michael Nelson,Female,East,electronic,513.08,5.09,6.0,Credit Card,Store C,Online,
,2024-03-27,C1287,Nicole Greene MD,Female,south,Furnitures,794.6,,1.0,Cash,Store C,Offline,1.2
T000343,2024-01-19,C1366,Ashley Jones,Male,West,Furniture,,7.28,8.0,Debit Card,Store D,Offline,2.0
T000344,,C1326,Jennifer Allen,Female,WST,Furniture,169.61,,1.0,Debit Card,Store A,Offline,3.9
T000345,2023-12-14,C1115,David Anderson,Male,WST,Clothing,,,10.0,Debit Card,Store A,Offline,2.9
T000346,2024-03-04,C1266,Mr. Thomas Miranda,Female,South,electronic,883.93,14.8,4.0,Online Payment,Store B,Online,2.4
T000347,2024-11-19,C1221,Dana Blake,Male,south,Clothing,972.61,7.42,2.0,Online Payment,Store A,Online,2.9
T000348,2023-05-16,C1485,Justin Warner,Female,East,electronic,441.72,14.38,3.0,Cash,Store D,Offline,
T000349,2023-05-18,C1132,Bryan White,Male,West,,162.13,14.07,9.0,Online Payment,Store B,Online,4.6
T000350,2024-06-13,C1251,Bonnie Romero,Male,North,Furniture,484.75,8.11,1.0,Credit Card,Store C,Online,3.1
T000351,2023-12-09,C1277,Cynthia Mathis,Female,south,Furniture,734.36,4.01,1.0,Credit Card,Store A,Offline,2.7
T000352,2023-01-11,C1276,Lisa Hernandez,Female,North,Clothing,194.77,,4.0,Cash,Store D,Online,1.8
T000353,2024-11-14,,Kimberly Perkins,Male,Est,electronic,927.34,4.69,4.0,Cash,Store D,Online,2.9
T000354,2024-06-04,C1228,Thomas Rivers,Female,Est,Clothing,781.37,13.97,4.0,Cash,Store A,Offline,
T000355,2023-11-07,C1354,,Female,Est,ELECTRONIC,11.47,11.42,2.0,Credit Card,Store B,Offline,3.1
T000356,2023-03-08,C1482,Brian Smith,Male,NORTH,electronic,881.09,9.23,1.0,Debit Card,Store A,Offline,
T000357,2023-06-26,C1316,Charles Jackson,Female,West,Electronics,521.4,,8.0,,Store D,Online,4.3
T000358,2023-08-25,C1375,Roberto Brown,,,Grocery,723.13,1.67,1.0,Debit Card,Store A,,
T000359,2023-03-08,C1122,Amy Miller,Male,WST,Clothing,838.35,11.8,9.0,Credit Card,Store C,Online,3.2
T000360,2024-03-25,C1440,Kelli Smith,Male,Est,Grocery,979.13,,7.0,Cash,Store C,Online,1.9
T000361,2023-11-22,C1308,Mark Mcdonald,Male,south,Furnitures,382.52,,8.0,Debit Card,Store A,Offline,
T000362,2024-05-27,C1440,Michael Allen,Female,East,Furniture,,7.54,8.0,Credit Card,Store D,Offline,
T000363,2023-01-16,C1318,Donald Lambert,Male,,,640.48,0.69,6.0,Debit Card,Store C,Offline,2.2
T000364,2023-03-01,C1001,Jacob Rodriguez,Female,North,Furnitures,881.53,13.59,2.0,Debit Card,Store A,Offline,3.5
T000365,2024-05-06,C1125,Jessica Aguirre,Male,Est,Clothing,41.67,1.1,4.0,Online Payment,Store D,Online,2.7
,2023-03-24,C1335,Carrie Clayton DVM,Female,WST,Clothing,658.83,12.39,1.0,Credit Card,,Offline,1.1
T000367,2023-02-02,C1261,Derek Gallegos,Male,Est,,644.15,14.46,2.0,Credit Card,Store D,Online,4.6
T000368,2024-04-01,C1356,Andrew Scott,Female,South,ELECTRONIC,39.12,,2.0,Cash,Store B,Online,2.6
T000369,2023-08-05,C1355,Todd Beasley,Female,Est,Electronics,127.71,,7.0,Online Payment,Store A,Offline,
T000370,2023-01-31,C1431,Brandon Dunn,Female,Est,electronic,923.44,2.99,1.0,Debit Card,,Online,4.2
T000371,2024-07-30,,Diane Webb,,West,Furnitures,842.69,,4.0,Credit Card,Store C,Online,2.4
T000372,2023-06-24,C1096,Crystal Cobb,Female,South,Furnitures,820.18,,10.0,Cash,Store B,Offline,4.9
T000373,2024-11-10,C1102,Roger Lopez,Female,NORTH,Electronics,204.74,,,Debit Card,Store B,Online,2.3
T000374,2023-06-16,C1422,Katie Morales,Female,Est,Electronics,490.54,2.06,3.0,Credit Card,,Offline,
T000375,2024-10-15,C1123,Hannah Larson,Male,,Grocery,,7.69,,Debit Card,Store C,Online,3.7
,2023-03-15,C1010,Antonio Atkins,Male,WST,Grocery,263.73,6.79,5.0,Debit Card,Store A,Online,3.9
T000377,2024-05-20,C1407,Brian Wilkerson MD,Male,South,Furniture,731.22,8.41,1.0,Credit Card,Store B,Offline,1.1
T000378,2024-06-10,C1044,Betty Miles,Female,North,Furnitures,856.24,2.98,2.0,,Store D,Online,1.8
T000379,2024-11-17,C1215,Kenneth Davidson,Male,South,ELECTRONIC,561.56,12.68,6.0,Debit Card,Store C,Online,4.5
T000380,2024-10-29,C1066,Christopher Johnson,Male,WST,Clothing,18.89,2.73,1.0,,Store B,Online,
T000381,2023-01-29,C1480,Kristin Rodriguez,Male,South,Furnitures,776.22,2.28,7.0,Cash,Store A,Offline,3.9
T000382,2023-05-12,C1246,Ethan Howard,Female,south,ELECTRONIC,809.25,1.4,6.0,,Store C,Online,2.0
T000383,2023-05-21,C1471,,Male,South,Electronics,36.68,11.75,10.0,Cash,Store C,Online,4.6
T000384,2023-03-16,C1023,Laura Parker,,WST,Clothing,233.42,5.85,1.0,Cash,,Offline,3.8
T000385,2023-08-19,C1305,Joan Edwards,Male,Est,electronic,728.04,9.93,4.0,Online Payment,Store C,Offline,1.3
T000386,2023-05-04,C1432,Mark Marsh,Female,East,Grocery,30.59,7.74,10.0,Online Payment,Store C,Online,4.6
T000387,2024-01-26,C1327,Nancy Levy,Female,NORTH,Furnitures,507.74,14.47,6.0,Credit Card,Store A,Offline,2.7
T000388,2023-08-02,C1007,Anthony Moreno,Female,East,Grocery,768.16,13.08,2.0,Debit Card,Store B,Online,3.9
,2024-02-26,C1357,Patricia Riggs,,West,,941.69,0.39,1.0,Credit Card,Store A,Online,4.3
T000390,2024-11-12,C1037,Barbara Martinez,Female,South,electronic,607.47,,8.0,,Store C,Offline,
T000391,2024-05-09,C1428,Brian Ramos,Female,East,Clothing,398.57,,7.0,Online Payment,Store A,Offline,1.9
T000392,2023-11-29,C1292,Anthony Garcia,Female,,Clothing,568.25,,7.0,Debit Card,Store A,,
T000393,2023-12-03,C1225,Mr. Calvin Alexander,Female,NORTH,Clothing,,7.62,8.0,Cash,Store B,Online,2.9
T000394,2023-10-14,C1060,,Female,East,ELECTRONIC,229.2,,2.0,Debit Card,Store D,Online,
T000395,2024-03-25,C1433,Tracy Peters,Female,WST,,154.38,3.51,5.0,Debit Card,Store C,Offline,2.0
T000396,2024-09-30,,Holly Hoffman,Male,south,Furnitures,889.49,13.64,5.0,Debit Card,Store D,Online,
T000397,2023-04-14,C1054,,Female,North,Clothing,606.85,,1.0,Online Payment,Store C,Online,
T000398,2023-10-26,,Jennifer Chase,Male,Est,Clothing,649.36,10.56,1.0,Online Payment,Store C,,4.9
T000399,2023-09-18,C1284,Joseph Young,Female,East,electronic,803.82,2.5,9.0,Online Payment,,Online,3.5
T000400,2024-06-19,C1451,William Solis,Male,South,Furniture,722.52,,8.0,Credit Card,Store D,Offline,3.5
T000401,,,Jennifer Perry,Male,North,Furniture,612.93,11.55,9.0,Debit Card,Store A,Online,1.6
T000402,2024-12-14,C1272,Miguel Soto,Female,south,Grocery,439.32,8.45,1.0,,Store D,Online,
T000403,2024-08-20,C1218,John Collier,Female,North,electronic,90.54,11.25,6.0,Credit Card,,Offline,3.4
T000404,2024-04-22,C1167,Dr. Donald Powers,Male,West,Furniture,997.43,5.45,9.0,Online Payment,Store B,Offline,4.0
T000405,2024-06-21,C1332,Dr. Charles Richards,,East,,945.21,,,Credit Card,Store D,Offline,3.5
T000406,2023-10-08,C1216,,Male,East,Clothing,335.37,13.23,,,Store D,Offline,3.8
T000407,2023-04-17,C1140,William Bennett,Female,South,electronic,280.9,14.37,10.0,Cash,Store A,Online,
T000408,2024-03-27,C1448,Linda Martin,Male,South,electronic,538.68,0.47,7.0,Online Payment,Store A,Online,2.9
T000409,,C1431,Robin Hill,Male,NORTH,ELECTRONIC,423.97,1.37,,Debit Card,Store A,Offline,3.7
T000410,2023-10-04,C1021,Richard Franklin,Male,East,Furniture,871.97,3.48,4.0,Debit Card,Store C,Offline,3.7
T000411,,C1179,Jody Fowler,Female,NORTH,Electronics,484.34,11.17,3.0,Debit Card,Store D,,4.3
T000412,2024-02-24,C1212,Daniel Sims,Female,NORTH,Furnitures,816.4,12.83,4.0,Debit Card,Store B,,4.5
T000413,2023-08-23,C1112,Roger Durham,,West,electronic,,7.3,8.0,Debit Card,Store C,,1.2
T000414,2024-07-14,C1020,Robert Ross III,Female,south,ELECTRONIC,316.2,,8.0,Cash,Store A,Online,
T000415,2023-07-17,C1156,Joseph Wright,Female,South,ELECTRONIC,782.5,6.82,1.0,Cash,Store B,Offline,2.4
T000416,2023-01-15,C1193,Evan Lee,Male,South,Clothing,,5.82,1.0,Cash,Store D,Online,
T000417,2024-07-15,C1087,Zachary Jimenez,Male,East,ELECTRONIC,28.76,2.44,4.0,Debit Card,Store C,Offline,
T000418,2024-11-14,C1109,Christopher Fischer,Female,East,ELECTRONIC,87.76,4.27,2.0,Online Payment,Store A,Offline,1.7
T000419,2024-08-26,C1171,Amanda Obrien,Female,West,ELECTRONIC,943.33,2.62,10.0,Credit Card,Store D,Online,1.3
T000420,2024-07-07,C1408,Claudia Wright,Female,NORTH,Furniture,,,10.0,Cash,Store C,,2.0
T000421,2024-06-10,C1424,,Male,West,Clothing,107.46,8.01,5.0,Cash,,Online,1.8
T000422,2023-07-01,C1304,Lydia Shaw,Male,South,Furniture,115.5,4.99,4.0,Online Payment,Store D,Online,4.0
T000423,2024-07-31,C1089,Nicholas Murphy,Female,south,ELECTRONIC,590.5,6.63,6.0,Online Payment,Store A,Offline,3.5
T000424,2024-01-31,C1282,Lauren Ritter,Male,Est,Furnitures,846.34,13.42,4.0,Cash,Store C,Offline,2.7
T000425,2023-04-23,,Christine Rivas,Male,WST,electronic,64.84,8.69,1.0,Credit Card,Store C,Offline,2.9
T000426,2023-12-03,C1459,Brandon Carter,Male,south,Furnitures,864.68,14.77,1.0,Debit Card,Store A,Offline,
T000427,,C1234,Kathryn Hammond,Male,Est,Furniture,400.21,7.3,8.0,Credit Card,Store A,Online,3.0
,2024-10-16,C1025,Catherine Garcia,Female,WST,electronic,48.62,7.32,8.0,Cash,,Offline,
T000429,2023-01-18,,,Female,,Grocery,809.02,8.39,6.0,Online Payment,Store A,Online,2.1
,2024-10-28,C1088,Michelle Jones,Female,North,Furnitures,940.94,6.55,7.0,Cash,Store B,Online,4.4
T000431,2023-09-29,C1463,Antonio Henry,Male,Est,ELECTRONIC,319.28,9.55,1.0,Cash,Store A,Online,1.0
T000432,2024-11-20,C1395,Julie Davis,Female,south,ELECTRONIC,114.29,6.27,7.0,Online Payment,Store D,Offline,4.6
T000433,2023-10-27,C1179,Jake Rodriguez,Male,,Furnitures,426.34,3.43,8.0,Cash,Store B,Offline,3.6
T000434,2024-10-04,C1114,,Female,,ELECTRONIC,788.19,,8.0,Cash,Store A,Offline,1.6
T000435,2023-01-20,C1387,John Strickland,Male,NORTH,Electronics,742.43,13.96,10.0,Credit Card,Store B,Offline,
T000436,2023-04-16,C1260,Jorge Bell,Male,,Furniture,168.21,,1.0,Online Payment,Store A,,3.2
T000437,2023-10-30,C1427,Tanner Joseph,Male,West,Clothing,778.2,4.33,10.0,Online Payment,Store A,Offline,2.5
T000438,2023-04-08,C1482,Christine Smith,Female,south,Clothing,349.96,14.33,7.0,Credit Card,Store B,,
T000439,2023-12-04,,Emily Crawford,Female,West,Furniture,526.1,7.43,4.0,Credit Card,Store A,Offline,2.4
T000440,2024-05-05,C1062,Mary Bradshaw,Female,South,Furniture,912.34,9.32,8.0,Online Payment,,Offline,1.1
T000441,2024-02-24,C1323,Susan Rosales,Female,North,ELECTRONIC,748.65,,7.0,Credit Card,Store A,Online,2.4
T000442,2024-09-25,C1318,Kristi Jones,Male,North,Grocery,40.98,,6.0,Credit Card,Store D,Online,3.9
T000443,2024-12-04,C1348,Sabrina Phillips,,West,Electronics,687.15,8.87,8.0,Cash,Store C,Offline,3.1
T000444,2023-11-05,C1459,Hannah Oconnor,Female,NORTH,ELECTRONIC,909.02,4.79,9.0,Cash,Store C,Offline,1.2
T000445,2024-05-11,C1029,Sheila Soto,,North,Furniture,28.97,4.01,1.0,Debit Card,Store C,,
T000446,2024-09-18,C1245,Grace Thomas,Female,,Furnitures,602.29,10.26,2.0,Credit Card,Store D,Online,4.5
T000447,2024-04-23,C1342,Paula Austin,Male,Est,Furnitures,806.94,1.0,4.0,Debit Card,Store A,Online,4.7
T000448,2023-06-09,C1037,Charles Harris,,South,Clothing,88.8,8.69,,Online Payment,Store D,Offline,3.4
T000449,,C1406,Jessica Hill,Male,NORTH,ELECTRONIC,150.6,12.36,10.0,Credit Card,Store D,Offline,1.6
,2023-06-22,C1483,Dr. Jose Sullivan,Female,south,,349.5,13.62,9.0,Debit Card,Store D,Offline,2.3
T000451,2024-03-21,C1157,Sarah Zimmerman,Female,Est,Furnitures,538.71,12.77,9.0,Credit Card,Store C,Offline,4.2
T000452,2023-06-01,C1323,James Cooper,Male,WST,Furniture,30.58,,2.0,Online Payment,Store C,Online,3.9
T000453,2023-09-02,,Jeremy Thompson,Male,East,electronic,442.54,10.51,3.0,,Store A,Offline,3.9
T000454,2024-04-01,C1110,Patrick Atkins,Female,south,ELECTRONIC,247.03,10.92,,Debit Card,Store A,Offline,1.1
T000455,2024-08-28,C1172,Levi Hall,,West,,136.3,,9.0,Online Payment,Store D,Offline,2.2
T000456,2023-09-26,,Nicole Stephens,Male,WST,Grocery,158.24,8.74,1.0,Credit Card,,Offline,
T000457,2024-07-26,C1121,Pamela Watson,Female,West,Clothing,318.93,,2.0,Online Payment,Store A,Offline,2.3
T000458,2023-12-14,C1144,Jonathan Hammond,Male,NORTH,electronic,16.5,6.37,,Debit Card,Store D,Offline,2.7
T000459,,C1026,Randall Jackson,Male,south,Furnitures,338.68,5.04,4.0,Online Payment,Store C,Online,2.3
,2023-09-22,C1199,Lindsey Simmons,Female,West,Grocery,642.71,10.77,4.0,Credit Card,,Online,3.6
T000461,2024-03-26,C1111,Michael Hester,Female,south,Furniture,647.79,13.19,3.0,Cash,,Online,4.5
,2023-04-30,C1450,Daniel Ortiz,Female,North,electronic,304.14,12.28,9.0,Cash,,Offline,
T000463,2023-05-29,C1165,Hayley Nelson,Male,Est,Furnitures,174.96,1.77,3.0,Debit Card,Store B,Offline,
T000464,2023-02-21,C1460,Rhonda Rice,Female,North,Furnitures,34.64,8.13,,Online Payment,Store A,Offline,2.5
T000465,2024-07-22,C1078,Katrina Reed,Female,NORTH,Clothing,935.41,0.27,8.0,Debit Card,Store A,Online,4.1
T000466,2023-07-06,C1029,Nichole Zhang,Female,West,Furniture,,5.97,4.0,Online Payment,Store B,Offline,
T000467,2024-11-11,C1180,Christian Thompson,Female,West,electronic,118.51,1.02,4.0,Credit Card,Store A,Online,2.6
T000468,2023-06-17,C1473,Tammy Vincent,Male,South,ELECTRONIC,925.58,,9.0,Cash,Store D,Offline,4.3
T000469,2024-05-21,C1086,John Carroll,Female,East,Electronics,805.35,11.97,5.0,Cash,Store D,Online,1.6
T000470,2023-11-15,C1021,Austin Hill,Male,,Grocery,482.01,2.23,5.0,Credit Card,Store A,Online,2.4
T000471,,C1404,Ronnie Moore,Male,Est,Clothing,265.18,10.33,7.0,Cash,Store D,Online,
